Index,Dato,Øvelse,DagensE1RM,AntalDatoAntalØvelse,ForrigeDato,ForrigeE1RM,Delta,PRTjek,Forrige2E1RM,MomentumBaseline,MomentumDelta,MomentumKey,PRFlag
18,07/01/2026 00.00,Dødløft,152.0,,02/01/2026 00.00,173.3,-21.3,,148.0,160.7,1.5,1,FALSK
19,12/01/2026 00.00,Squat,140.0,,07/01/2026 00.00,138.0,2.0,,138.0,138.0,3.0,1,SAND
20,12/01/2026 00.00,Bænkpres,,,07/01/2026 00.00,82.3,,,90.7,86.5,,,
21,12/01/2026 00.00,Dødløft,163.3,,07/01/2026 00.00,152.0,11.3,,173.3,162.7,-1.8,-1,FALSK
22,14/01/2026 00.00,Squat,,,12/01/2026 00.00,140.0,,,138.0,139.0,2.0,1,
23,14/01/2026 00.00,Bænkpres,91.0,,12/01/2026 00.00,82.3,8.7,,82.3,82.3,,,SAND
24,14/01/2026 00.00,Dødløft,,,12/01/2026 00.00,163.3,,,152.0,157.7,0.3,0,
25,21/01/2026 00.00,Squat,141.0,,14/01/2026 00.00,140.0,1.0,,140.0,140.0,-7.8,-1,SAND
26,21/01/2026 00.00,Bænkpres,,,14/01/2026 00.00,91.0,,,82.3,86.7,,,
27,21/01/2026 00.00,Dødløft,160.3,,14/01/2026 00.00,163.3,-3.0,,163.3,163.3,-27.7,-1,FALSK
28,23/01/2026 00.00,Squat,,,21/01/2026 00.00,141.0,,,140.0,140.5,-13.8,-1,
29,23/01/2026 00.00,Bænkpres,,,21/01/2026 00.00,91.0,,,91.0,91.0,,,
30,23/01/2026 00.00,Dødløft,163.3,,21/01/2026 00.00,160.3,3.0,,163.3,161.8,4.3,1,FALSK
31,28/01/2026 00.00,Squat,144.0,,23/01/2026 00.00,141.0,3.0,,141.0,141.0,11.4,1,SAND
32,28/01/2026 00.00,Bænkpres,,,23/01/2026 00.00,91.0,,,91.0,91.0,-5.0,-1,
33,28/01/2026 00.00,Dødløft,160.0,,23/01/2026 00.00,163.3,-3.3,,160.3,161.8,,,FALSK
34,30/01/2026 00.00,Squat,144.5,,28/01/2026 00.00,144.0,0.5,,141.0,142.5,7.0,1,SAND
35,30/01/2026 00.00,Bænkpres,,,28/01/2026 00.00,91.0,,,91.0,91.0,0.3,0,
36,30/01/2026 00.00,Dødløft,162.0,,28/01/2026 00.00,160.0,2.0,,163.3,161.7,10.0,1,FALSK
37,02/02/2026 00.00,Squat,136.5,,30/01/2026 00.00,144.5,-8.0,,144.0,144.3,-2.4,-1,FALSK
38,02/02/2026 00.00,Bænkpres,,,30/01/2026 00.00,91.0,,,91.0,91.0,4.4,1,
39,02/02/2026 00.00,Dødløft,133.3,,30/01/2026 00.00,162.0,-28.7,,160.0,161.0,,,FALSK
40,06/02/2026 00.00,Squat,126.7,,02/02/2026 00.00,136.5,-9.8,,144.5,140.5,2.1,1,FALSK
41,06/02/2026 00.00,Bænkpres,,,02/02/2026 00.00,91.0,,,91.0,91.0,-0.3,0,
42,06/02/2026 00.00,Dødløft,152.0,,02/02/2026 00.00,133.3,18.7,,162.0,147.7,-8.0,-1,FALSK
43,11/02/2026 00.00,Squat,143.0,,06/02/2026 00.00,126.7,16.3,,136.5,131.6,4.3,1,FALSK
44,11/02/2026 00.00,Bænkpres,86.0,,06/02/2026 00.00,91.0,-5.0,,91.0,91.0,-2.9,-1,FALSK
45,11/02/2026 00.00,Dødløft,,,06/02/2026 00.00,152.0,,,133.3,142.7,,,
46,13/02/2026 00.00,Squat,141.8,,11/02/2026 00.00,143.0,-1.2,,126.7,134.8,,,FALSK
47,13/02/2026 00.00,Bænkpres,88.8,,11/02/2026 00.00,86.0,2.8,,91.0,88.5,3.1,1,FALSK
48,13/02/2026 00.00,Dødløft,162.0,,11/02/2026 00.00,152.0,10.0,,152.0,152.0,5.5,1,FALSK
49,18/02/2026 00.00,Squat,140.0,,13/02/2026 00.00,141.8,-1.8,,143.0,142.4,4.2,1,FALSK
50,18/02/2026 00.00,Bænkpres,91.8,,13/02/2026 00.00,88.8,3.0,,86.0,87.4,0.6,0,SAND
51,18/02/2026 00.00,Dødløft,,,13/02/2026 00.00,162.0,,,152.0,157.0,,,
52,20/02/2026 00.00,Squat,143.0,,18/02/2026 00.00,140.0,3.0,,141.8,140.9,,,FALSK
53,20/02/2026 00.00,Bænkpres,90.0,,18/02/2026 00.00,91.8,-1.8,,88.8,90.3,0.7,0,FALSK
54,20/02/2026 00.00,Dødløft,154.0,,18/02/2026 00.00,162.0,-8.0,,162.0,162.0,,,FALSK
55,25/02/2026 00.00,Squat,145.8,,20/02/2026 00.00,143.0,2.8,,140.0,141.5,,,SAND
56,25/02/2026 00.00,Bænkpres,88.0,,20/02/2026 00.00,90.0,-2.0,,91.8,90.9,2.1,1,FALSK
57,25/02/2026 00.00,Dødløft,,,20/02/2026 00.00,154.0,,,162.0,158.0,3.8,1,
58,27/02/2026 00.00,Squat,,,25/02/2026 00.00,145.8,,,143.0,144.4,,,
59,27/02/2026 00.00,Bænkpres,92.1,,25/02/2026 00.00,88.0,4.1,,90.0,89.0,3.4,1,SAND
